seed,exploration_rate,selection_severity,control_declined_ece,ipw_declined_ece,explore_declined_ece,n_explored,explored_defaults,exploration_cost,diag_flagged,passed,frontier
7,0.0,0.0,0.0138,0.0138,,0,0,0.0,False,True,0.4
7,0.0,0.2,0.0263,0.0263,,0,0,0.0,False,True,0.4
7,0.0,0.4,0.0818,0.0818,,0,0,0.0,False,True,0.4
7,0.0,0.6,0.2486,0.2486,,0,0,0.0,True,False,0.4
7,0.02,0.0,0.067,0.0138,0.067,33,6,18996.07,False,True,0.4
7,0.02,0.2,0.0796,0.0263,0.0796,26,3,-27661.75,False,True,0.4
7,0.02,0.4,0.0821,0.0818,0.0821,33,11,98961.28,False,True,0.4
7,0.02,0.6,0.2083,0.2486,0.2083,26,9,47480.24,True,False,0.4
7,0.05,0.0,0.0227,0.0138,0.0227,84,15,14892.67,False,True,0.4
7,0.05,0.2,0.0646,0.0263,0.0646,78,13,-8794.5,False,True,0.4
7,0.05,0.4,0.0393,0.0818,0.0393,83,27,209233.58,False,True,0.4
7,0.05,0.6,0.1663,0.2486,0.1663,70,20,91518.48,True,False,0.4
7,0.1,0.0,0.0298,0.0138,0.0298,166,30,37777.5,False,True,0.6
7,0.1,0.2,0.0252,0.0263,0.0252,165,30,16709.6,False,True,0.6
7,0.1,0.4,0.0722,0.0818,0.0722,162,58,470592.56,False,True,0.6
7,0.1,0.6,0.0761,0.2486,0.0761,141,45,280937.14,True,True,0.6
7,0.1,0.8,0.1604,0.3526,0.1604,171,60,349383.41,True,False,0.6
42,0.0,0.0,0.0359,0.0359,,0,0,0.0,False,True,0.4
42,0.0,0.2,0.0378,0.0378,,0,0,0.0,False,True,0.4
42,0.0,0.4,0.0969,0.0969,,0,0,0.0,False,True,0.4
42,0.0,0.6,0.2439,0.2439,,0,0,0.0,True,False,0.4
42,0.02,0.0,0.0527,0.0359,0.0527,44,8,-35113.82,False,True,0.4
42,0.02,0.2,0.085,0.0378,0.085,36,9,56846.93,False,True,0.4
42,0.02,0.4,0.0904,0.0969,0.0904,32,10,69644.02,False,True,0.4
42,0.02,0.6,0.239,0.2439,0.239,31,10,71845.73,True,False,0.4
42,0.05,0.0,0.0465,0.0359,0.0465,90,17,-26579.75,False,True,0.2
42,0.05,0.2,0.0496,0.0378,0.0496,84,18,50060.62,False,True,0.2
42,0.05,0.4,0.1014,0.0969,0.1014,73,23,133434.81,False,False,0.2
42,0.1,0.0,0.0455,0.0359,0.0455,165,40,110381.02,False,True,0.6
42,0.1,0.2,0.0398,0.0378,0.0398,145,31,126927.02,False,True,0.6
42,0.1,0.4,0.071,0.0969,0.071,167,43,213639.62,False,True,0.6
42,0.1,0.6,0.0919,0.2439,0.0919,157,56,439577.96,True,True,0.6
42,0.1,0.8,0.139,0.319,0.139,148,57,392054.7,True,False,0.6
2026,0.0,0.0,0.024,0.024,,0,0,0.0,False,True,0.4
2026,0.0,0.2,0.0449,0.0449,,0,0,0.0,False,True,0.4
2026,0.0,0.4,0.0866,0.0866,,0,0,0.0,False,True,0.4
2026,0.0,0.6,0.253,0.253,,0,0,0.0,True,False,0.4
2026,0.02,0.0,0.0327,0.024,0.0327,35,6,13688.56,False,True,0.2
2026,0.02,0.2,0.0902,0.0449,0.0902,41,9,16448.74,False,True,0.2
2026,0.02,0.4,0.1305,0.0866,0.1305,24,5,12228.92,False,False,0.2
2026,0.05,0.0,0.0206,0.024,0.0206,82,16,62760.97,False,True,0.2
2026,0.05,0.2,0.0795,0.0449,0.0795,106,22,52095.71,False,True,0.2
2026,0.05,0.4,0.1085,0.0866,0.1085,69,16,76478.18,False,False,0.2
2026,0.1,0.0,0.0485,0.024,0.0485,143,23,48876.43,False,True,0.4
2026,0.1,0.2,0.0674,0.0449,0.0674,168,38,104747.16,False,True,0.4
2026,0.1,0.4,0.0527,0.0866,0.0527,166,45,247483.19,False,True,0.4
2026,0.1,0.6,0.1547,0.253,0.1547,155,53,406457.62,True,False,0.4
