seed,selection_severity,exploration_rate,generation,policy,funded_rate,funded_default_rate,declined_ece,declined_mean_pd,declined_base_rate,all_ece,diag_propensity_auc,diag_ess_ratio,diag_below_floor,diag_flagged,n_explored,explored_defaults,book_profit,explored_profit,declined_empc,declined_emp_h
7,0.4,0.0,0,prior,0.6,0.0875,0.0752,0.2077,0.2825,0.0315,0.8313,0.9127,0.0044,False,0,0,0.024,0.0,0.038,0.0167
7,0.4,0.0,1,model,0.6,0.0471,0.2312,0.1207,0.3519,0.0904,0.9952,0.9377,0.3781,True,0,0,0.0378,0.0,0.0395,0.0024
7,0.4,0.0,2,model,0.6,0.0808,0.1061,0.2567,0.3162,0.0308,0.9731,0.7716,0.1187,True,0,0,0.0256,0.0,0.0375,0.0104
7,0.4,0.0,3,model,0.6,0.0537,0.1873,0.1586,0.3406,0.0735,0.976,0.8571,0.265,True,0,0,0.0333,0.0,0.0423,0.0035
7,0.4,0.0,4,model,0.6,0.0508,0.1428,0.2022,0.345,0.0555,0.9831,0.8656,0.2406,True,0,0,0.0358,0.0,0.0427,0.0052
7,0.4,0.0,5,model,0.6,0.0571,0.1194,0.2425,0.3369,0.0336,0.9902,0.902,0.3,True,0,0,0.0352,0.0,0.0433,0.008
7,0.4,0.05,0,prior,0.6212,0.093,0.0897,0.2106,0.2845,0.0277,0.8313,0.9127,0.0044,False,85,21,0.0228,-0.0012,0.0354,0.0171
7,0.4,0.05,1,model,0.6158,0.0629,0.1532,0.2695,0.339,0.0494,0.984,0.7897,0.2637,True,63,21,0.0326,-0.0014,0.0402,0.0059
7,0.4,0.05,2,model,0.6235,0.0874,0.0609,0.3274,0.3201,0.0454,0.9324,0.8328,0.0925,True,94,28,0.0248,-0.0014,0.0419,0.0112
7,0.4,0.05,3,model,0.6168,0.0665,0.1447,0.218,0.3327,0.049,0.9877,0.9025,0.2844,True,67,20,0.03,-0.0016,0.0357,0.0025
7,0.4,0.05,4,model,0.6198,0.0879,0.1027,0.3838,0.2998,0.0717,0.9103,0.8946,0.0963,True,79,27,0.0254,-0.0021,0.0406,0.016
7,0.4,0.05,5,model,0.62,0.0552,0.175,0.1815,0.3546,0.059,0.9902,0.8935,0.2838,True,80,25,0.0363,-0.0018,0.042,0.0009
7,1.0,0.0,0,prior,0.6,0.0175,0.3504,0.0371,0.3875,0.1394,0.9734,0.8125,0.21,True,0,0,0.0463,0.0,0.0469,0.0002
7,1.0,0.0,1,model,0.6,0.1146,0.0459,0.2416,0.2506,0.0191,0.9422,0.8899,0.0556,True,0,0,0.0163,0.0,0.0318,0.0215
7,1.0,0.0,2,model,0.6,0.0587,0.1275,0.2365,0.3494,0.046,0.9904,0.8169,0.2787,True,0,0,0.0328,0.0,0.0435,0.0046
7,1.0,0.0,3,model,0.6,0.0612,0.1126,0.2183,0.3294,0.0422,0.9914,0.9105,0.3431,True,0,0,0.0312,0.0,0.04,0.0037
7,1.0,0.0,4,model,0.6,0.0504,0.2062,0.1394,0.3456,0.082,0.9902,0.8892,0.2838,True,0,0,0.0358,0.0,0.0396,0.0031
7,1.0,0.0,5,model,0.6,0.07,0.0877,0.2377,0.3175,0.0427,0.9752,0.8528,0.17,True,0,0,0.0305,0.0,0.0392,0.0111
7,1.0,0.05,0,prior,0.6202,0.0274,0.2175,0.1735,0.391,0.0539,0.9734,0.8125,0.21,True,81,26,0.0443,-0.002,0.049,0.0005
