seed,selection_severity,exploration_rate,arm,generation,policy,funded_rate,funded_default_rate,book_profit,explored_profit,declined_ece,declined_mean_pd,declined_base_rate,all_ece,declined_empc,declined_emp_h,diag_propensity_auc,diag_ess_ratio,diag_below_floor,diag_flagged,n_explored,explored_defaults
1000,0.2,0.0,treatment,0,prior,0.6,0.1429,0.007000558,0.0,0.03,0.2023,0.2056,0.0127,0.0268,0.0356,0.7985,0.9818,0.0,False,0,0
1000,0.2,0.0,treatment,1,model,0.6,0.0437,0.0373500714,0.0,0.2309,0.1385,0.3694,0.0895,0.0469,0.0015,0.9945,0.9195,0.3688,True,0,0
1000,0.2,0.0,treatment,2,model,0.6,0.055,0.035821758,0.0,0.1181,0.3005,0.3488,0.0401,0.0443,0.0033,0.9916,0.8908,0.3063,True,0,0
1000,0.2,0.0,treatment,3,model,0.6,0.0446,0.0384388476,0.0,0.2324,0.1572,0.3588,0.0818,0.0426,0.0028,0.9946,0.9378,0.3412,True,0,0
1000,0.2,0.0,treatment,4,model,0.6,0.06,0.0345836923,0.0,0.1314,0.1961,0.3275,0.0507,0.041,0.0085,0.9875,0.9061,0.2437,True,0,0
1000,0.2,0.0,treatment,5,model,0.6,0.0512,0.035462126,0.0,0.1593,0.1816,0.34,0.0591,0.0416,0.0031,0.9926,0.8397,0.3312,True,0,0
1000,0.2,0.0,treatment,6,model,0.6,0.0571,0.0341009292,0.0,0.2172,0.1197,0.3369,0.0873,0.0451,0.0068,0.9873,0.897,0.2087,True,0,0
1000,0.2,0.0,treatment,7,model,0.6,0.0583,0.0335238193,0.0,0.1376,0.336,0.3356,0.0387,0.0418,0.0073,0.988,0.9069,0.2562,True,0,0
1000,0.2,0.0,treatment,8,model,0.6,0.05,0.0366399108,0.0,0.1591,0.2345,0.3438,0.0503,0.0374,0.0018,0.992,0.9416,0.3638,True,0,0
1000,0.2,0.0,treatment,9,model,0.6,0.0638,0.0320289853,0.0,0.1176,0.2309,0.3431,0.0436,0.0454,0.0076,0.9885,0.8754,0.2712,True,0,0
1000,0.2,0.0,treatment,10,model,0.6,0.0467,0.0375132329,0.0,0.2079,0.1399,0.3412,0.0806,0.0398,0.0042,0.992,0.9341,0.23,True,0,0
1000,0.2,0.0,treatment,11,model,0.6,0.0558,0.0351719925,0.0,0.0957,0.228,0.3237,0.0369,0.0419,0.0097,0.9718,0.823,0.1906,True,0,0
1000,0.2,0.0,frozen,0,prior,0.6,0.1429,0.007000558,0.0,0.03,0.2023,0.2056,0.0127,0.0268,0.0356,0.7985,0.9818,0.0,False,0,0
1000,0.2,0.0,frozen,1,model,0.6,0.0437,0.0373500714,0.0,0.0546,0.3653,0.3694,0.0303,0.0489,0.0015,0.9945,0.9195,0.3688,True,0,0
