seed,generator,iteration,selection_severity,frontier_severity,passed,naive_declined_ece,reweight_declined_ece,retrain_declined_ece,naive_declined_empc,naive_declined_emp_h,reweight_declined_empc,reweight_declined_emp_h,exploration_cost
7,flat,0,0.0,0.4,True,0.011942387718158221,0.018836573714787815,0.04318488708142045,0.010927473627275636,,0.01073847319010102,,0.0
7,flat,1,0.2,0.4,True,0.054256904126995235,0.0568417949078015,0.039040189534501134,0.01774812589019624,,0.018637057886260067,,0.0
7,flat,2,0.4,0.4,True,0.0978510486409007,0.08269206081277829,0.09743577415782209,0.02132880245961996,,0.021217988047527732,,0.0
7,flat,3,0.6,0.4,False,0.1898391077413101,0.19846928943180944,0.19663796357578375,0.027074353511768415,,0.02550853275474562,,0.0
13,flat,0,0.0,0.4,True,0.022275840788854487,0.024751092541759934,0.017506333105733126,0.00929972592485159,,0.009647774750133394,,0.0
13,flat,1,0.2,0.4,True,0.050214978086681315,0.05055324162054605,0.03583926041811761,0.016798582587146883,,0.016196484193563277,,0.0
13,flat,2,0.4,0.4,True,0.09250668947340071,0.09351391298714434,0.1201239245379716,0.025871496681722124,,0.022214503018823144,,0.0
13,flat,3,0.6,0.4,False,0.182158957476734,0.20099940509622996,0.19102007270399166,0.026270406829425295,,0.02404663891301699,,0.0
42,flat,0,0.0,0.4,True,0.020582788256059463,0.02037245682674575,0.025830246831170744,0.010649435074942305,,0.011290209933431352,,0.0
42,flat,1,0.2,0.4,True,0.045013455768610766,0.03837398338759449,0.05372001199371352,0.013441461668051356,,0.012722854603080818,,0.0
42,flat,2,0.4,0.4,True,0.10790584142204337,0.08642142482811203,0.09222520424967655,0.02226877894260096,,0.021008943373766846,,0.0
42,flat,3,0.6,0.4,False,0.16075426633224005,0.15403565290935103,0.18110713727808597,0.021040007481444502,,0.020126776679816792,,0.0
101,flat,0,0.0,0.4,True,0.026137498496029286,0.02447741401598733,0.030450193588176678,0.011169083031303418,,0.011219233352542574,,0.0
