generator,seed,selection_severity,n_train_declines,n_eval_declines,method,declined_ece,declined_auc,declined_brier
flat,7,0.0,600,600,naive,0.018,0.7355,0.1236
flat,7,0.0,600,600,ipw,0.0187,0.7514,0.1201
flat,7,0.0,600,600,reclassification,0.047,0.7704,0.1216
flat,7,0.0,600,600,augmentation,0.0313,0.7428,0.1224
flat,7,0.0,600,600,fuzzy_augmentation,0.0508,0.7637,0.1194
flat,7,0.0,600,600,parcelling,0.0275,0.7695,0.118
flat,7,0.2,600,600,naive,0.0463,0.7378,0.1365
flat,7,0.2,600,600,ipw,0.0719,0.7217,0.1413
flat,7,0.2,600,600,reclassification,0.0763,0.7443,0.1457
flat,7,0.2,600,600,augmentation,0.0485,0.7318,0.1394
flat,7,0.2,600,600,fuzzy_augmentation,0.0355,0.7567,0.1303
flat,7,0.2,600,600,parcelling,0.0713,0.7398,0.1395
flat,7,0.4,600,600,naive,0.0803,0.6941,0.1737
flat,7,0.4,600,600,ipw,0.0743,0.6873,0.1743
flat,7,0.4,600,600,reclassification,0.1172,0.7062,0.1817
flat,7,0.4,600,600,augmentation,0.0775,0.6906,0.1699
flat,7,0.4,600,600,fuzzy_augmentation,0.079,0.6846,0.1735
flat,7,0.4,600,600,parcelling,0.0622,0.7048,0.1697
flat,7,0.6,600,600,naive,0.1879,0.6532,0.2356
flat,7,0.6,600,600,ipw,0.1854,0.6589,0.2346
flat,7,0.6,600,600,reclassification,0.2021,0.6387,0.2415
flat,7,0.6,600,600,augmentation,0.1884,0.6308,0.2374
flat,7,0.6,600,600,fuzzy_augmentation,0.1723,0.6741,0.2265
flat,7,0.6,600,600,parcelling,0.1233,0.6668,0.2076
flat,7,0.8,600,600,naive,0.2283,0.5942,0.262
flat,7,0.8,600,600,ipw,0.2219,0.5613,0.2611
flat,7,0.8,600,600,reclassification,0.2696,0.4518,0.2877
flat,7,0.8,600,600,augmentation,0.2281,0.5587,0.2634
flat,7,0.8,600,600,fuzzy_augmentation,0.2255,0.5673,0.2624
flat,7,0.8,600,600,parcelling,0.1852,0.5803,0.2415
flat,7,1.0,600,600,naive,0.249,0.5164,0.2759
flat,7,1.0,600,600,ipw,0.2608,0.5013,0.2825
flat,7,1.0,600,600,reclassification,0.2726,0.4629,0.2906
flat,7,1.0,600,600,augmentation,0.2518,0.5066,0.2777
flat,7,1.0,600,600,fuzzy_augmentation,0.2418,0.5578,0.2725
flat,7,1.0,600,600,parcelling,0.228,0.5343,0.267
flat,42,0.0,600,600,naive,0.0313,0.6791,0.1216
flat,42,0.0,600,600,ipw,0.0457,0.6746,0.1246
flat,42,0.0,600,600,reclassification,0.07,0.6763,0.1246
flat,42,0.0,600,600,augmentation,0.0333,0.6728,0.1254
flat,42,0.0,600,600,fuzzy_augmentation,0.0268,0.6951,0.1187
flat,42,0.0,600,600,parcelling,0.0463,0.684,0.1252
flat,42,0.2,600,600,naive,0.0478,0.7599,0.137
flat,42,0.2,600,600,ipw,0.0445,0.747,0.1403
flat,42,0.2,600,600,reclassification,0.0993,0.7545,0.152
flat,42,0.2,600,600,augmentation,0.0496,0.7666,0.1381
flat,42,0.2,600,600,fuzzy_augmentation,0.0481,0.7558,0.1411
flat,42,0.2,600,600,parcelling,0.0805,0.7449,0.1487
flat,42,0.4,600,600,naive,0.0987,0.7193,0.184
flat,42,0.4,600,600,ipw,0.1027,0.7286,0.1828
flat,42,0.4,600,600,reclassification,0.113,0.7299,0.1823
flat,42,0.4,600,600,augmentation,0.0925,0.723,0.1837
flat,42,0.4,600,600,fuzzy_augmentation,0.0981,0.7284,0.1805
flat,42,0.4,600,600,parcelling,0.09,0.7338,0.1782
flat,42,0.6,600,600,naive,0.2038,0.6358,0.2459
flat,42,0.6,600,600,ipw,0.2111,0.5778,0.2551
flat,42,0.6,600,600,reclassification,0.2483,0.4984,0.2743
flat,42,0.6,600,600,augmentation,0.205,0.593,0.2484
flat,42,0.6,600,600,fuzzy_augmentation,0.2057,0.6066,0.249
flat,42,0.6,600,600,parcelling,0.1312,0.6403,0.2179
flat,42,0.8,600,600,naive,0.2822,0.4995,0.3007
flat,42,0.8,600,600,ipw,0.2716,0.5319,0.2941
flat,42,0.8,600,600,reclassification,0.2862,0.5265,0.3022
flat,42,0.8,600,600,augmentation,0.2784,0.4966,0.2994
flat,42,0.8,600,600,fuzzy_augmentation,0.2705,0.5116,0.2937
flat,42,0.8,600,600,parcelling,0.2625,0.5513,0.2888
flat,42,1.0,600,600,naive,0.3159,0.5382,0.3324
flat,42,1.0,600,600,ipw,0.3129,0.5183,0.3329
flat,42,1.0,600,600,reclassification,0.3343,0.5313,0.3448
flat,42,1.0,600,600,augmentation,0.3163,0.5286,0.3333
flat,42,1.0,600,600,fuzzy_augmentation,0.3187,0.5305,0.3353
flat,42,1.0,600,600,parcelling,0.3002,0.5441,0.3242
flat,2026,0.0,600,600,naive,0.0125,0.72,0.1179
flat,2026,0.0,600,600,ipw,0.0357,0.7152,0.1183
flat,2026,0.0,600,600,reclassification,0.0455,0.7404,0.1163
flat,2026,0.0,600,600,augmentation,0.0178,0.715,0.1199
flat,2026,0.0,600,600,fuzzy_augmentation,0.0602,0.7258,0.1177
flat,2026,0.0,600,600,parcelling,0.0476,0.7208,0.1226
flat,2026,0.2,600,600,naive,0.0427,0.6945,0.1399
flat,2026,0.2,600,600,ipw,0.0344,0.7006,0.1397
flat,2026,0.2,600,600,reclassification,0.0685,0.7023,0.1457
flat,2026,0.2,600,600,augmentation,0.0477,0.7068,0.1373
flat,2026,0.2,600,600,fuzzy_augmentation,0.0324,0.7005,0.1404
flat,2026,0.2,600,600,parcelling,0.0365,0.7196,0.1412
flat,2026,0.4,600,600,naive,0.0825,0.6926,0.1847
flat,2026,0.4,600,600,ipw,0.0813,0.693,0.1814
flat,2026,0.4,600,600,reclassification,0.1175,0.6834,0.1902
flat,2026,0.4,600,600,augmentation,0.0954,0.6842,0.1879
flat,2026,0.4,600,600,fuzzy_augmentation,0.091,0.712,0.1833
flat,2026,0.4,600,600,parcelling,0.085,0.7061,0.1828
flat,2026,0.6,600,600,naive,0.2145,0.6124,0.2549
flat,2026,0.6,600,600,ipw,0.1868,0.5618,0.2427
flat,2026,0.6,600,600,reclassification,0.2469,0.5081,0.2723
flat,2026,0.6,600,600,augmentation,0.2116,0.5745,0.2537
flat,2026,0.6,600,600,fuzzy_augmentation,0.2157,0.6295,0.253
flat,2026,0.6,600,600,parcelling,0.1579,0.5998,0.2324
flat,2026,0.8,600,600,naive,0.2486,0.616,0.2738
flat,2026,0.8,600,600,ipw,0.2493,0.6211,0.2733
flat,2026,0.8,600,600,reclassification,0.2736,0.5087,0.2898
